,schedule_date,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,home_favorite,fixed_spread,game_info
2672,11/25/1979,IND,24.0,28.0,MIA,MIA,-4.0,37,-1,4.0,11/25/1979 IND-MIA
2673,11/25/1979,CIN,34.0,28.0,ARI,CIN,-2.0,42,1,-2.0,11/25/1979 CIN-ARI
2674,11/25/1979,DEN,10.0,14.0,OAK,DEN,-4.0,37,1,-4.0,11/25/1979 DEN-OAK
2675,11/25/1979,GB,10.0,21.0,PHI,PHI,-4.0,36,-1,4.0,11/25/1979 GB-PHI
2676,11/25/1979,NE,13.0,16.0,BUF,NE,-10.0,41,1,-10.0,11/25/1979 NE-BUF
2677,11/25/1979,NYG,14.0,6.0,WAS,WAS,-3.0,36,-1,3.0,11/25/1979 NYG-WAS
2678,11/25/1979,PIT,33.0,30.0,CLE,PIT,-10.0,42,1,-10.0,11/25/1979 PIT-CLE
2679,11/25/1979,LAC,28.0,7.0,KC,LAC,-10.0,38,1,-10.0,11/25/1979 LAC-KC
2680,11/25/1979,SF,20.0,26.0,LAR,LAR,-6.0,39,-1,6.0,11/25/1979 SF-LAR
2681,11/25/1979,TB,22.0,23.0,MIN,TB,-8.0,36,1,-8.0,11/25/1979 TB-MIN
2682,11/26/1979,SEA,30.0,7.0,NYJ,SEA,-6.0,45,1,-6.0,11/26/1979 SEA-NYJ
2683,11/29/1979,MIA,39.0,24.0,NE,MIA,-6.0,38,1,-6.0,11/29/1979 MIA-NE
2684,12/02/1979,BUF,16.0,19.0,DEN,DEN,-2.0,36,-1,2.0,12/02/1979 BUF-DEN
2685,12/02/1979,CLE,14.0,7.0,TEN,CLE,-1.0,44,1,-1.0,12/02/1979 CLE-TEN
2686,12/02/1979,DAL,28.0,7.0,NYG,DAL,-11.0,38,1,-11.0,12/02/1979 DAL-NYG
2687,12/02/1979,KC,37.0,21.0,SEA,SEA,-1.0,41,-1,1.0,12/02/1979 KC-SEA
2688,12/02/1979,LAR,27.0,21.0,MIN,LAR,-7.0,38,1,-7.0,12/02/1979 LAR-MIN
2689,12/02/1979,NYJ,30.0,17.0,IND,NYJ,-6.0,38,1,-6.0,12/02/1979 NYJ-IND
2690,12/02/1979,PHI,44.0,7.0,DET,PHI,-8.0,37,1,-8.0,12/02/1979 PHI-DET
2691,12/02/1979,PIT,37.0,17.0,CIN,PIT,-14.0,44,1,-14.0,12/02/1979 PIT-CIN
2692,12/02/1979,LAC,26.0,28.0,ATL,LAC,-14.0,42,1,-14.0,12/02/1979 LAC-ATL
2693,12/02/1979,ARI,13.0,10.0,SF,ARI,-6.0,43,1,-6.0,12/02/1979 ARI-SF
2694,12/02/1979,TB,0.0,14.0,CHI,TB,-4.0,36,1,-4.0,12/02/1979 TB-CHI
2695,12/02/1979,WAS,38.0,21.0,GB,WAS,-9.0,34,1,-9.0,12/02/1979 WAS-GB
2696,12/03/1979,NO,35.0,42.0,OAK,NO,-3.0,43,1,-3.0,12/03/1979 NO-OAK
2697,12/08/1979,PHI,17.0,24.0,DAL,DAL,-3.0,40,-1,3.0,12/08/1979 PHI-DAL
2698,12/08/1979,SEA,28.0,23.0,DEN,DEN,-3.0,39,-1,3.0,12/08/1979 SEA-DEN
2699,12/09/1979,ATL,13.0,34.0,LAR,LAR,-3.0,39,-1,3.0,12/09/1979 ATL-LAR
2700,12/09/1979,IND,7.0,10.0,KC,PICK,0.0,36,-1,-0.0,12/09/1979 IND-KC
2701,12/09/1979,DET,10.0,28.0,MIA,MIA,-7.0,36,-1,7.0,12/09/1979 DET-MIA
2702,12/09/1979,GB,14.0,15.0,CHI,CHI,-4.0,36,-1,4.0,12/09/1979 GB-CHI
2703,12/09/1979,MIN,10.0,3.0,BUF,MIN,-2.0,36,1,-2.0,12/09/1979 MIN-BUF
2704,12/09/1979,NO,0.0,35.0,LAC,NO,-4.0,45,1,-4.0,12/09/1979 NO-LAC
2705,12/09/1979,NYJ,27.0,26.0,NE,NE,-4.0,44,-1,4.0,12/09/1979 NYJ-NE
2706,12/09/1979,OAK,19.0,14.0,CLE,OAK,-3.0,44.5,1,-3.0,12/09/1979 OAK-CLE
2707,12/09/1979,SF,23.0,7.0,TB,TB,-3.0,38,-1,3.0,12/09/1979 SF-TB
2708,12/09/1979,ARI,29.0,20.0,NYG,ARI,-2.0,36,1,-2.0,12/09/1979 ARI-NYG
2709,12/09/1979,WAS,28.0,14.0,CIN,WAS,-6.0,42,1,-6.0,12/09/1979 WAS-CIN
2710,12/10/1979,TEN,20.0,17.0,PIT,PIT,-3.0,42.5,-1,3.0,12/10/1979 TEN-PIT
2711,12/15/1979,DET,13.0,18.0,GB,DET,-3.0,34,1,-3.0,12/15/1979 DET-GB
2712,12/15/1979,MIA,24.0,27.0,NYJ,MIA,-6.0,45,1,-6.0,12/15/1979 MIA-NYJ
2713,12/16/1979,ATL,31.0,21.0,SF,ATL,-3.0,45,1,-3.0,12/16/1979 ATL-SF
2714,12/16/1979,CHI,42.0,6.0,ARI,CHI,-4.0,37,1,-4.0,12/16/1979 CHI-ARI
2715,12/16/1979,CIN,16.0,12.0,CLE,CIN,-1.0,41,1,-1.0,12/16/1979 CIN-CLE
2716,12/16/1979,DAL,35.0,34.0,WAS,DAL,-8.0,39.5,1,-8.0,12/16/1979 DAL-WAS
2717,12/16/1979,TEN,20.0,26.0,PHI,TEN,-4.0,39,1,-4.0,12/16/1979 TEN-PHI
2718,12/16/1979,LAR,14.0,29.0,NO,LAR,-6.0,42,1,-6.0,12/16/1979 LAR-NO
2719,12/16/1979,NE,27.0,23.0,MIN,NE,-5.0,40,1,-5.0,12/16/1979 NE-MIN
2720,12/16/1979,NYG,7.0,31.0,IND,NYG,-6.0,37,1,-6.0,12/16/1979 NYG-IND
2721,12/16/1979,OAK,24.0,29.0,SEA,OAK,-8.0,45,1,-8.0,12/16/1979 OAK-SEA
2722,12/16/1979,PIT,28.0,0.0,BUF,PIT,-12.0,39,1,-12.0,12/16/1979 PIT-BUF
2723,12/16/1979,TB,3.0,0.0,KC,TB,-3.0,33,1,-3.0,12/16/1979 TB-KC
2724,12/17/1979,LAC,17.0,7.0,DEN,LAC,-6.0,38,1,-6.0,12/17/1979 LAC-DEN
2725,12/23/1979,TEN,13.0,7.0,DEN,TEN,-7.0, ,1,-7.0,12/23/1979 TEN-DEN
